mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l2_regularization,param_learning_rate,param_max_bins,param_max_depth,param_max_iter,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.18176655769348143,0.11650586543506614,0.009714794158935548,0.00458573792125993,0.16122128725400442,0.2796123191793462,63,11,233,29,"{'l2_regularization': np.float64(0.16122128725400442), 'learning_rate': np.float64(0.2796123191793462), 'max_bins': 63, 'max_depth': 11, 'max_iter': 233, 'min_samples_leaf': 29}",0.896551724137931,0.75,0.8571428571428571,0.6428571428571429,0.6785714285714286,0.7650246305418719,0.09839708809004195,1,0.9642857142857143,0.9646017699115044,0.9734513274336283,0.9557522123893806,0.9911504424778761,0.9698482932996209,0.012032715442156108
0.13963885307312013,0.004684723748790208,0.007255029678344726,0.0009669606527349519,0.7477187738974139,0.2863908356369464,63,3,280,4,"{'l2_regularization': np.float64(0.7477187738974139), 'learning_rate': np.float64(0.2863908356369464), 'max_bins': 63, 'max_depth': 3, 'max_iter': 280, 'min_samples_leaf': 4}",1.0,0.6428571428571429,0.7142857142857143,0.75,0.7142857142857143,0.7642857142857143,0.1228903609577518,2,0.9732142857142857,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9804835651074588,0.0036346396965865942
0.26311140060424804,0.14662062758272076,0.007541942596435547,0.001770877491465464,0.8509284487675127,0.2813341483240748,127,10,353,4,"{'l2_regularization': np.float64(0.8509284487675127), 'learning_rate': np.float64(0.2813341483240748), 'max_bins': 127, 'max_depth': 10, 'max_iter': 353, 'min_samples_leaf': 4}",0.9310344827586207,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7142857142857143,0.7576354679802957,0.08669950738916253,3,0.9642857142857143,0.9823008849557522,0.9823008849557522,0.9734513274336283,0.9823008849557522,0.97692793931732,0.007190525967413323
0.17103681564331055,0.1123151875433789,0.008983898162841796,0.003127013503015932,0.6323058305935795,0.19372361612065947,255,3,300,29,"{'l2_regularization': np.float64(0.6323058305935795), 'learning_rate': np.float64(0.19372361612065947), 'max_bins': 255, 'max_depth': 3, 'max_iter': 300, 'min_samples_leaf': 29}",0.8620689655172413,0.7142857142857143,0.8214285714285714,0.6785714285714286,0.6428571428571429,0.7438423645320197,0.08405837772975559,4,0.9285714285714286,0.9380530973451328,0.9734513274336283,0.9380530973451328,0.9911504424778761,0.9538558786346396,0.0241396988956284
0.2672593116760254,0.09073347884834174,0.009066295623779298,0.0020624201282065245,0.43439436551042865,0.11152273823145593,63,3,246,5,"{'l2_regularization': np.float64(0.43439436551042865), 'learning_rate': np.float64(0.11152273823145593), 'max_bins': 63, 'max_depth': 3, 'max_iter': 246, 'min_samples_leaf': 5}",0.896551724137931,0.6428571428571429,0.7142857142857143,0.75,0.7142857142857143,0.7435960591133005,0.08402733816835624,5,0.9732142857142857,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9804835651074588,0.0036346396965865942
0.26135005950927737,0.08183955971188792,0.007921266555786132,0.0014168282581918882,0.6343513447013638,0.20740458095088238,63,8,346,5,"{'l2_regularization': np.float64(0.6343513447013638), 'learning_rate': np.float64(0.20740458095088238), 'max_bins': 63, 'max_depth': 8, 'max_iter': 346, 'min_samples_leaf': 5}",0.896551724137931,0.6785714285714286,0.7142857142857143,0.7857142857142857,0.6428571428571429,0.7435960591133004,0.08989439205492522,6,0.9642857142857143,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9786978508217447,0.007206068268015154
0.23583006858825684,0.10266017254920876,0.007199382781982422,0.0012719603407095647,0.5582934536070976,0.2659645395249085,255,11,332,4,"{'l2_regularization': np.float64(0.5582934536070976), 'learning_rate': np.float64(0.2659645395249085), 'max_bins': 255, 'max_depth': 11, 'max_iter': 332, 'min_samples_leaf': 4}",0.9310344827586207,0.6785714285714286,0.7142857142857143,0.7142857142857143,0.6785714285714286,0.7433497536945813,0.09519186636355435,7,0.9553571428571429,0.9823008849557522,0.9823008849557522,0.9734513274336283,0.9823008849557522,0.9751422250316054,0.010469458888269575
0.16472988128662108,0.06679828703127588,0.0068590641021728516,0.0015652559548887783,0.17336465350777208,0.12340757619623982,127,10,101,7,"{'l2_regularization': np.float64(0.17336465350777208), 'learning_rate': np.float64(0.12340757619623982), 'max_bins': 127, 'max_depth': 10, 'max_iter': 101, 'min_samples_leaf': 7}",0.896551724137931,0.6428571428571429,0.75,0.7142857142857143,0.6785714285714286,0.7364532019704434,0.08765497364174504,8,0.9642857142857143,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9823008849557522,0.9786978508217447,0.007206068268015154
0.16026458740234376,0.07625352273869557,0.012796688079833984,0.010228187579218314,0.17436642900499144,0.21037194404971513,255,4,228,12,"{'l2_regularization': np.float64(0.17436642900499144), 'learning_rate': np.float64(0.21037194404971513), 'max_bins': 255, 'max_depth': 4, 'max_iter': 228, 'min_samples_leaf': 12}",0.896551724137931,0.6785714285714286,0.7142857142857143,0.7142857142857143,0.6785714285714286,0.7364532019704434,0.08162711706822502,8,0.9553571428571429,0.9823008849557522,0.9734513274336283,0.9823008849557522,0.9823008849557522,0.9751422250316055,0.010469458888269577
0.15309662818908693,0.0871030515224247,0.008197402954101563,0.0028381953333921476,0.5898708475605439,0.2938789288997526,255,8,363,28,"{'l2_regularization': np.float64(0.5898708475605439), 'learning_rate': np.float64(0.2938789288997526), 'max_bins': 255, 'max_depth': 8, 'max_iter': 363, 'min_samples_leaf': 28}",0.896551724137931,0.6071428571428571,0.75,0.7142857142857143,0.7142857142857143,0.7364532019704434,0.09329417220491497,8,0.9642857142857143,0.9646017699115044,0.9734513274336283,0.9557522123893806,0.9823008849557522,0.968078381795196,0.009050455792210062
